src,target_text,target_pron,ratio
Adrenalin,آدرنالین,adrenālin,89
Airbag,ایربگ,ajrbag,83
Akustik,آکوستیک,ākustik,86
Alkohol,الكل,alkol,83
Aluminium,آلومینیوم,āluminium,89
alkoholisch,الكلی,alkoli,71
arabisch,عربی,arabi,77
Atelier,آتلیه,ātelije,71
Atlantik,آتلانتیک,ātlāntik,75
Atlas,اطلس,atlas,100
Atom,اتم,atom,100
Atombombe,بمب اتمی,bomb-e atomi,86
atomar,اتمی,atomi,73
aus Berlin,از برلین,az berlin,84
aus Berlin,اهل برلین,ahl-e berlin,73
aus Berlin,برلینی,berlini,71
Autobus,اتوبوس,otobus,77
Balkon,بالكن,bālkon,83
Ballon,بالون,bālon,73
Bank,بانك,bānk,75
Basketball,بسكتبال,basket-bāl,80
Benzin,بنزین,benzin,100
Beton,بتن,beton,100
Billard,بیلیارد,biljārd,71
Biologie,بیولوژی,bijoloži,75
Block,بلوک,blok,89
blond,بلوند,bolond,91
Bodensee,بودن‌زه,boden-ze,75
Bombe,بمب,bomb,89
Bowling,بولینگ,bowling,100
Bronchitis,برونشیت,bronšit,71
Bronze,برنز,boronz,83
Brötchen,بروتشن,brotšen,71
Budget,بودجه,budğe,73
Bürokratie,بوروکراسی,burokrasi,78
Cent,سنت,sent,75
Dänemark,دانمارک,dānmārk,71
darin,در آن,dar ān,73
Delfin,دلفین,delfin,100
Demokratie,دمكراسی,demokrāsi,74
Dessert,دسر,deser,83
demokratisch,دموکراتیک,demokrātik,73
Diabetes,دیابت,diābet,71
Diesel,دیزل,dizel,73
Diktat,دیكته,dikte,73
Diktatur,دیكتاتوری,diktātori,71
Diplomat(in),دیپلمات,diplomāt,74
Disco,دیسکو,disko,80
Diskothek,دیسکوتک,disko-tek,89
Diskothek,دیسکو,disko,71
digital,دیجیتال,diğitāl,71
Doktor,دكتر,doktor,100
Dollar,دلار,dolār,73
Doping,دوپینگ,doping,100
Download,دانلود,dāwnlod,80
